CategoryID,City,Customer Company,Country,EmployeeID,PostalCode,ProductID,ShipperID,SupplierID,Discount,Freight,Quantity,QuantityPerUnit,UnitPrice,UnitsInStock,UnitsOnOrder,Profit,OrderYear,OrderMonth
2,44,58,0,8,55,72,2,14,0.0,76.43,25,30,12.03,14,0,76.75,2003,11
3,44,58,1,8,55,26,2,11,0.0,76.43,24,1,33.55,15,0,178.08,2003,11
5,44,58,2,8,55,23,2,9,0.0,76.43,40,100,9.0,61,0,62.8,2003,11
8,44,58,3,8,55,36,2,17,0.0,76.43,20,20,7.99,112,0,30.8,2003,11
8,44,58,4,8,55,37,2,17,0.0,76.43,28,21,3.9,11,50,13.16,2003,11
1,1,84,5,2,58,5,2,2,0.2,33.19,12,100,5.58,0,0,10.32,2003,12
5,1,84,6,2,58,56,2,26,0.0,33.19,2,15,34.55,21,10,0.76,2003,12
7,1,84,7,2,58,7,2,3,0.0,33.19,15,40,38.3,15,0,77.85,2003,12
1,16,71,8,8,0,31,2,14,0.0,45.53,30,20,9.11,0,70,47.4,2004,1
8,16,71,9,8,0,58,2,27,0.0,45.53,15,20,51.57,62,0,216.0,2004,1
3,3,37,10,2,28,26,2,11,0.0,65.97,16,1,29.44,15,0,52.96,2004,1
3,3,37,11,2,28,60,2,28,0.2,65.97,8,53,4.86,19,0,3.36,2004,1
8,3,37,12,2,28,10,2,4,0.2,65.97,30,20,6.51,31,0,9.3,2004,1
3,28,17,13,8,17,62,2,29,0.0,42.17,40,30,30.28,17,0,195.6,2004,1
4,28,17,14,8,17,35,2,16,0.0,42.17,100,14,6.06,20,0,89.0,2004,1
3,52,54,15,2,2,16,2,7,0.15,70.97,40,24,8.88,29,0,62.0,2004,1
4,52,54,16,2,2,34,2,16,0.0,70.97,20,12,7.67,111,0,18.2,2004,1
8,52,54,17,2,2,46,2,21,0.15,70.97,15,40,12.23,95,0,47.4,2004,1
1,3,37,18,2,28,11,2,5,0.0,22.4,12,25,26.62,22,30,66.24,2004,2
3,3,37,19,2,28,16,2,7,0.0,22.4,30,24,9.36,29,0,60.9,2004,2
3,3,37,20,2,28,69,2,15,0.0,22.4,15,100,1.89,26,0,3.6,2004,2
2,23,8,5,3,11,72,2,14,0.0,69.28,4,30,12.64,14,0,14.72,2004,2
6,23,8,5,3,11,29,2,12,0.0,69.28,10,1,117.3,0,0,165.6,2004,2
